,COMPANY ID,CITY,ST,DOMICILE REGION,ZIP,TRAC,TRAIL,VAN,REFR,INTER,CURT,FLAT,STEP,DD,OVER,TANK,PNEUM,BULK,Company ID,BEVERAGES,BUILDING_MATERIALS,CHEMICALS,COAL_COKE,CONSTRUCT,DRIVE_TOW,DRY_BULK,FARM_SUPPLIES,FRESH_PRODUCE,GARBAGE_TRASH,GENERAL_FREIGHT,GRAIN_FEED,HOUSEHOLD_GOODS,INTERMODAL,LIQUIDS_GASES,LIVESTOCK,LOG_POLE,MACHINERY_LARGE_OBJECTS,MEAT,METAL_SHEETS_ROLLS,MOBILE_HOMES,MOTOR_VEHICLES,OILFIELD_EQUIPMENT,OTHER,PAPER_PRODUCTS,PASSENGERS,REFRIGERATED_FOOD,US_MAIL,UTILITY,Unavailable,WATER_WELL,ONLY_VAN,VAN_REFR,VAN_FLAT,ONLY_REFR,ONLY_FLAT,REFR_FLAT
3145,3589,SAN DIEGO,CA,PAC,92154,0.0033090668431502318,0.0046,0,1,0,0,0,0,0,0,0,0,0.0,3589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0
1381,1562,CLAY CENTER,NE,CEN,68933,0.013236267372600927,0.0146,1,1,0,0,0,0,0,0,0,1,0.0,1562,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0
3784,4344,ELKHART,IN,MDW,46514,0.014228987425545996,0.0238,1,0,0,0,1,1,0,0,0,0,0.0,4344,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0
5021,5710,WEATHERFORD,TX,CEN,76088,0.10092653871608206,0.135,1,1,0,0,1,0,0,0,0,1,1.0,5710,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
3868,4442,NATCHITOCHES,LA,SE,71469,0.003639973527465255,0.004,0,0,0,0,0,0,0,0,1,0,0.0,4442,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
3633,4166,BENSENVILLE,IL,MDW,60142,0.007941760423560556,0.0056,1,0,1,0,1,0,0,0,0,0,0.0,4166,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0
3367,3838,OPA LOCKA,FL,SE,33054,0.013236267372600927,0.006200000000000001,0,1,0,0,0,0,0,0,0,0,0.0,3838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0
3578,4094,PALOS HILLS,IL,MDW,60465,0.009265387160820648,0.0022,0,0,1,0,0,0,0,0,0,0,0.0,4094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1430,1628,CORAOPOLIS,PA,NE,15108,0.01455989410986102,0.011000000000000001,1,0,0,0,0,0,0,0,0,0,0.0,1628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0
2967,3389,FT SMITH,AR,SE,72908,0.005625413633355393,0.0034000000000000002,0,0,0,0,0,0,0,0,1,0,1.0,3389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1265,1417,FULLERTON,CA,PAC,92833,0.024818001323626736,0.033,1,1,1,0,0,0,0,0,0,0,0.0,1417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0
598,640,BRANDON,WI,MDW,53919,0.011912640635340834,0.02,1,1,0,0,0,0,0,0,0,0,0.0,640,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0
3605,4132,Melrose,IL,MDW,60160,0.004963600264725348,0.004,0,1,0,0,0,0,0,0,0,0,0.0,4132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0
249,272,SAINT JOHN,NB,CAN,E2L 4H8,0.08669755129053607,0.156,1,0,0,0,1,0,0,0,0,0,1.0,272,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0
1765,2007,BRANDON,SD,CEN,57005,0.1184645929847783,0.20320000000000002,0,1,0,0,0,0,0,0,0,0,0.0,2007,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0
1113,1234,FONTANA,CA,PAC,92335,0.014228987425545996,0.01,1,0,0,0,0,0,0,0,0,0,0.0,1234,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0
164,177,HIGH POINT,NC,MATL,27263,0.013898080741230973,0.0126,0,0,0,0,0,0,0,0,0,0,0.0,177,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1278,1434,Council Bluffs,IA,CEN,51501,0.004632693580410324,0.0022,1,1,0,0,0,0,0,0,0,0,0.0,1434,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0
534,567,BRAMPTON,ON,CAN,L6W 1V9,0.01985440105890139,0.1326,1,0,0,0,0,0,0,0,0,0,0.0,567,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
3253,3705,GARDENA,CA,PAC,90248,0.009265387160820648,0.026600000000000002,0,0,1,0,0,0,0,0,0,0,0.0,3705,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1312,1485,ULYSSES,KS,CEN,67880,0.002316346790205162,0.0014,0,0,0,0,1,0,0,0,0,0,1.0,1485,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
2382,2720,LEXINGTON,NC,MATL,27295,0.021508934480476506,0.04,1,0,0,0,0,0,0,0,0,0,0.0,2720,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0
1685,1916,NORTON,OH,MDW,44203,0.013898080741230973,0.020200000000000003,1,0,0,0,1,1,1,0,0,0,0.0,1916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0
3848,4419,HENDERSON,KY,SE,42419-0451,0.013898080741230973,0.014,1,0,0,0,0,0,0,0,0,0,0.0,4419,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
4329,4943,NEWARK,NJ,NE,07114,0.011912640635340834,0.015000000000000001,0,0,1,0,0,0,0,0,0,0,0.0,4943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2635,3008,BIG STONE CITY,SD,CEN,57216,0.029781601588352084,0.0246,0,1,0,0,0,0,0,0,0,0,0.0,3008,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0
4788,5457,SEYMOUR,TN,SE,37865,0.00033090668431502316,0.0034000000000000002,0,0,0,0,1,0,0,0,0,0,0.0,5457,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
2594,2957,MIFFLINTOWN,PA,NE,17059,0.0066181336863004635,0.015600000000000001,1,0,0,0,0,0,0,0,0,0,0.0,2957,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
1593,1813,SURREY,BC,CAN,V3V 7W2,0.008603573792190603,0.0046,0,1,0,0,0,0,0,0,0,0,0.0,1813,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0
1427,1625,CLARION,PA,NE,16214,0.014228987425545996,0.0146,1,0,0,0,1,0,0,0,0,0,0.0,1625,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0
4213,4820,WINSTON SALEM,NC,MATL,27105,0.013567174056915949,0.0146,1,0,0,0,0,0,0,0,0,0,0.0,4820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
3984,4567,BAD AXE,MI,MDW,48413,0.016214427531436135,0.019,1,0,0,0,0,0,0,0,1,0,0.0,4567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
1447,1648,EDINBURG,TX,CEN,78541,0.01455989410986102,0.0102,0,1,0,0,0,0,0,0,0,0,0.0,1648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0
1419,1611,HERMISTON,OR,PAC,97838,0.015552614162806089,0.0066,0,1,0,0,0,0,0,0,0,0,0.0,1611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0
918,1010,VERONA,PA,NE,15147,0.010919920582395765,0.008,0,0,0,0,1,0,0,0,0,0,0.0,1010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
2819,3208,HAGER CITY,WI,MDW,54014,0.009265387160820648,0.0134,1,1,0,0,0,0,0,0,0,0,0.0,3208,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0
859,932,SCHERERVILLE,IN,MDW,46375,0.004632693580410324,0.0028,0,0,1,0,0,0,0,0,1,0,0.0,932,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
4136,4738,TUPELO,MS,SE,38801,0.011912640635340834,0.0152,1,0,0,0,0,0,0,0,0,0,0.0,4738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
2845,3237,Loyal,WI,MDW,54446,0.0006618133686300463,0.0004,1,1,0,0,0,0,0,0,0,0,0.0,3237,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0
423,450,TORONTO,ON,CAN,M9C 5A5,0.033752481800132364,0.051000000000000004,0,1,0,0,0,0,0,0,0,0,0.0,450,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,0,1,0,0
3644,4178,CAIRO,IL,MDW,62914-1936,0.004301786896095301,0.0064,1,0,1,0,0,0,0,0,1,0,0.0,4178,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
